CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Parent,Customer Priority,customar Full Name (cc),Customer_full_name,Length of fill name,Parents_Exam,Customer_priority_Exam,Income_level_Exam,Education_catogery_exam,Birth_year_Exam
11009,MR.,SHANNON,CARLSON,01-Apr-64,S,M,shannon38@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. SHANNON CARLSON,MR. SHANNON CARLSON,19,No,Standard,Average,Undergraduate,1964
11106,MR.,JESSIE,LIU,11-Sep-64,S,M,jessie9@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JESSIE LIU,MR. JESSIE LIU,14,No,Standard,Average,Undergraduate,1964
11109,MR.,RUBEN,KAPOOR,05-Nov-63,S,M,ruben1@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RUBEN KAPOOR,MR. RUBEN KAPOOR,16,No,Standard,Average,Undergraduate,1963
11451,MR.,RUBEN,MUÑOZ,09-Nov-74,S,M,ruben30@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RUBEN MUÑOZ,MR. RUBEN MUÑOZ,15,No,Standard,Average,Undergraduate,1974
11916,MR.,JOE,RANA,07-Sep-65,S,M,joe14@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JOE RANA,MR. JOE RANA,12,No,Standard,Average,Undergraduate,1965
12004,MR.,JARROD,SURI,20-Dec-63,S,M,jarrod0@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JARROD SURI,MR. JARROD SURI,15,No,Standard,Average,Undergraduate,1963
12337,MR.,DUSTIN,GOLDSTEIN,09-Oct-75,S,M,dustin20@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. DUSTIN GOLDSTEIN,MR. DUSTIN GOLDSTEIN,20,No,Standard,Average,Undergraduate,1975
12339,MR.,CLAYTON,JAI,08-Jul-76,S,M,clayton29@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CLAYTON JAI,MR. CLAYTON JAI,15,No,Standard,Average,Undergraduate,1976
12669,MR.,IRVING,SCHMIDT,04-Mar-76,S,M,irving0@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. IRVING SCHMIDT,MR. IRVING SCHMIDT,18,No,Standard,Average,Undergraduate,1976
12671,MR.,ALAN,HUANG,11-Feb-74,S,M,alan10@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ALAN HUANG,MR. ALAN HUANG,14,No,Standard,Average,Undergraduate,1974
